131    0.151351 1.670E-32 6.654E-10.09500.000 3695.35710.660.000000       X1/2   1       X1/2   1            1.0 QQ  0.5fe  1.0603010 4 4 2 0 1 0     3.0    3.0
131    0.151905 8.413E-33 3.365E-10.09500.000 3695.35650.660.000000       X1/2   1       X1/2   1            1.0 QQ  0.5fe  0.0603010 4 4 2 0 1 0     3.0    1.0
131    0.153480 1.001E-75 2.001E-10.08600.00024121.96590.660.000000       X1/2   8       X1/2   8                QQ  1.5fe     232010 5 2 2 0 1 0     8.0    8.0
131    0.155449 2.988E-25 1.072E-09.09500.000  126.29350.660.000000       X1/2   0       X1/2   0            0.0 QQ  0.5fe  1.0603010 4 4 2 0 1 0     1.0    3.0
131    0.158465 6.209E-25 7.570E-10.09500.000  126.29350.660.000000       X1/2   0       X1/2   0            1.0 QQ  0.5fe  1.0603010 4 4 2 0 1 0     3.0    3.0
131    0.158590 9.663E-46 8.226E-10.08600.00010285.37340.660.000000       X3/2   3       X3/2   3                QQ  2.5fe     342010 5 2 2 0 1 0    12.0   12.0
131    0.158962 3.125E-25 3.822E-10.09500.000  126.29300.660.000000       X1/2   0       X1/2   0            1.0 QQ  0.5fe  0.0603010 4 4 2 0 1 0     3.0    1.0
131    0.160130 3.633E-71 7.204E-11.05300.00021885.63010.660.000000       X1/2   7       X1/2   7                QQ  3.5fe     232010 5 2 2 0 1 0    16.0   16.0
131    0.165570 1.507E-54 4.754E-11.04000.00014004.60010.660.000000       X1/2   4       X1/2   4                QQ  5.5ef     242010 5 2 2 0 1 0    24.0   24.0
131    0.172050 1.174E-65 9.271E-11.05300.00019312.86240.660.000000       X1/2   6       X1/2   6                QQ  3.5fe     232010 5 2 2 0 1 0    16.0   16.0
131    0.172169 2.127E-40 6.951E-11.08600.000 7049.11880.660.000000       X3/2   2       X3/2   2            2.0 QQ  2.5fe  3.0603010 4 4 2 0 1 0     5.0    7.0
131    0.172408 2.986E-39 9.772E-10.08600.000 7049.11850.660.000000       X3/2   2       X3/2   2            2.0 QQ  2.5fe  2.0603010 4 4 2 0 1 0     5.0    5.0
131    0.172526 4.271E-39 9.990E-10.08600.000 7049.11880.660.000000       X3/2   2       X3/2   2            3.0 QQ  2.5fe  3.0603010 4 4 2 0 1 0     7.0    7.0
131    0.172765 2.142E-40 5.017E-11.08600.000 7049.11850.660.000000       X3/2   2       X3/2   2            3.0 QQ  2.5fe  2.0603010 4 4 2 0 1 0     7.0    5.0
131    0.173310 1.672E-70 3.064E-10.08600.00021710.50320.660.000000       X1/2   7       X1/2   7                QQ  1.5fe     232010 5 2 2 0 1 0     8.0    8.0
131    0.174820 6.561E-76 1.393E-10.06500.00024191.05940.660.000000       X1/2   8       X1/2   8                QQ  2.5fe     232010 5 2 2 0 1 0    12.0   12.0
131    0.179680 7.786E-60 1.060E-10.05300.00016573.64810.660.000000       X1/2   5       X1/2   5                QQ  3.5fe     242010 5 2 2 0 1 0    16.0   16.0
131    0.181500 1.056E-79 5.482E-10.06500.00026321.23530.660.000000       X3/2   9       X3/2   9                QQ  3.5fe     232010 5 2 2 0 1 0    16.0   16.0
131    0.181580 1.054E-76 2.302E-14.04000.00023234.56330.660.000000       X1/2   3       X3/2   3                QP 29.5ff     332010 5 2 2 0 1 0   116.0  120.0
131    0.181774 1.673E-27 4.374E-12.05300.000  429.28060.660.000000       X1/2   0       X1/2   0            3.0 QQ  3.5fe  4.0603010 4 4 2 0 1 0     7.0    9.0
131    0.182561 4.556E-26 1.196E-10.05300.000  429.27980.660.000000       X1/2   0       X1/2   0            3.0 QQ  3.5fe  3.0603010 4 4 2 0 1 0     7.0    7.0
131    0.183730 1.153E-53 1.195E-10.05300.00013670.74380.660.000000       X1/2   4       X1/2   4                QQ  3.5fe     242010 5 2 2 0 1 0    16.0   16.0
